AUTHOR,TITLE,YEAR,SOURCE,DIVISION,PUB_TYPE,KEYWORDS,LINK
Boehlert GW,Current-topography interactions at mid-ocean seamounts and the impact on pelagic ecosystems,1988,GeoJournal 16.1: 45-52,,Journal,,
Boehlert GW,An approach to recruitment research in insular ecosystems,1988,"In: Pauly D, Yanez-Arancibia A, Csirke J (eds.). IOC/FAO Workshop on Recruitment in Tropical Coastal Demersal Communities. Ciudad del Carmen, Campeche, Mexico, 21-25 April 1986, p. 33-44. UNESCO Inter-governmental Oceanographic Commission Workshop Rep. 44 (Supplement)",,Conf Proc,,
"Banish LD, Gilmartin WG",Hematology and serum chemistry of the young Hawaiian monk seal Monachus schauinslandi,1988,Journal of Wildlife Diseases 24: 225-230,PSD,Journal,,
"Alcorn DJ, Forsyth RJ, Westlake RL","Hawaiian monk seal and green turtle research on Lisianski Island, 1984 and 1985",1988,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-SWFC-120, 22 p.",PSD,Tech Memo,,
"Tagami DT, Ralston SV",An assessment of exploitable biomass and projection of maximum sustainable yield for Heterocarpus laevigatus in the Hawaiian Islands.,1988,"Southwest Fisheries Science Center Administrative Report H-88-14, 22 p.",,Administrative Report,,
"Samples KC, Sproul JT",An economic appraisal of effort management alternatives for the Northwestern Hawaiian Islands commercial lobster fishery.,1988,"Southwest Fisheries Science Center Administrative Report H-88-12C, 40 p.",,Administrative Report,,
"Ralston S, Kawamoto KE","A biological assessment of Hawaiian bottom fish stocks, 1984-87.",1988,"Southwest Fisheries Science Center Administrative Report H-88-08, 60 p.",,Administrative Report,,
"Polovina JJ, Moffitt RB, Clarke RP","Status of stocks of lobsters in the Northwestern Hawaiian Islands, 1987.",1988,"Southwest Fisheries Science Center Administrative Report H-88-03, 8 p.",,Administrative Report,,
"Pooley SG, Teramoto S, Todoki AC",Hawaii's aku boat fishery in 1986 and 1987.,1988,"Southwest Fisheries Science Center Administrative Report H-88-16, 15 p.",,Administrative Report,,
"Pooley SG, Kawamoto KE",Status of Hawaii's bottom fish fishery in 1987.,1988,"Southwest Fisheries Science Center Administrative Report H-88-10, 17 p.",,Administrative Report,,
Brill RW,"On the standard metabolic rates of tropical tunas, including the effect of body size and acute temperature change",1987,Fishery Bulletin 85: 25-35,FBSAB,Journal,,
Gerrodette T,Dynamic response analysis. II. Evaluation of dynamic response analysis in a simulated no-harvest case,1987,Marine Mammal Science 4(3): 196-209,PSD,Journal,,
"Boehlert GW, Mundy BC","Recruitment dynamics of metamorphosing English sole, Parophrys vetulus, to Yaquina Bay, Oregon",1987,Estuarine Coastal and Shelf Science 25: 261-282,FBSAB,Journal,,
"Gilmartin WG, Alcorn DJ","A plan to address the Hawaiian monk seal adult male ""mobbing"" problem.",1987,"Southwest Fisheries Science Center Administrative Report H-87-12, 24 p.",PSD,Administrative Report,,
"Boggs CH, Pooley SG (eds.)",Strategic planning for Hawaii's aku industry.,1987,"Southwest Fisheries Science Center Administrative Report H-87-01, 15 p.","FBSAB, FMB",Administrative Report,,
"Wetherall JA, Laurs RM, Nishimoto RN, Yong MYY",Growth variation and stock structure in North Pacific albacore,1987,"Working paper prepared for the 10th North Pacific Albacore Workshop, Far Seas Fisheries Research Laboratory, Shimizu, Shizuoka, Japan, 11-13 August 1987",,Report,,
"Moffitt RB, Polovina JJ",Distribution and yield of the deepwater shrimp Heterocarnus resource in the Marianas,1987,Fishery Bulletin 85: 339-349,,Journal,,
"Kendall AW, Clarke ME, Yoklavich MM, Boehlert GW","Distribution, feeding, growth of larval walleye pollock, Theragra chalcogramma, from Shelikof Strait, Gulf of Alaska",1987,Fishery Bulletin 85: 499-521,,Journal,,
"Keating BH, Fryer P, Batiza R, Boehlert GW (eds.)","Seamounts, islands, and atolls.",1987,"Geophysical Monographs 43, 405 p.",,Book,,
"Johanos TC, Kam AKH, Forsyth RG",The Hawaiian monk seal on Laysan Island: 1984,1987,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-SWFC-70, 38 p.",PSD,Tech Memo,,
"Hudgins LL, Pooley SG",Growth and contraction of domestic fisheries: Hawaii's tuna industry in the 1980s.,1987,"In: Doulman DJ (ed.). Tuna issues and perspectives in the Pacific islands region, p. 225-241. East-West Center, Honolulu, 314 p.",FMB,Book Chapter,,
"Holt RS, Gerrodette T, Cologne JB",Research vessel survey design for monitoring dolphin abundance in the eastern tropical Pacific,1987,Fishery Bulletin 85: 435-446,,Journal,,
"Hochachka PW, Brill RW",Autocatalytic pathways to cell death: A new analysis of the tuna burn problem,1987,Fish Physiology and Biochemistry 4(2): 81-87,CRED,Journal,,
Shomura RS,Hawaii's marine fishery resources: Yesterday (1900) and today (1986),1987,"Southwest Fisheries Science Center Administrative Report H-87-21, 14 p.",,Administrative Report,,
Shiota PM,A comparison of bottom longline and deep-sea handline for sampling bottom fishes in the Hawaiian Archipelago.,1987,"Southwest Fisheries Science Center Administrative Report H-87-05, 18 p.",,Administrative Report,,
"Samples KC, Sproul JT",Potential gains in fleet profitability from limiting entry into the Northwestern Hawaiian Island commercial lobster trap fishery.,1987,"Southwest Fisheries Science Center Administrative Report H-87-17C, 30 p.",,Administrative Report,,
"Samples KC, Gates PD",Market situation and outlook for Northwestern Hawaiian Islands spiny and slipper lobsters.,1987,"Southwest Fisheries Science Center Administrative Report H-87-04C, 33 p.",,Administrative Report,,
"Ralston S, Kawamoto KE",An assessment and description of the status of bottom fish stocks in Hawaii.,1987,"Southwest Fisheries Science Center Administrative Report H-87-07, 55 p.",,Administrative Report,,
"Polovina JJ, Moffitt RB, Benco RL",Chartlets of selected areas around Niue Island.,1987,"Southwest Fisheries Science Center Administrative Report H-87-09, 8 p.",,Administrative Report,,
"Polovina JJ, Everson AR, Kazama TK",Analysis of field trials with circular and rectangular vented lobster traps.,1987,"Southwest Fisheries Science Center Administrative Report H-87-03, 10 p.",,Administrative Report,,
"Polovina JJ, Moffitt RB, Clarke RP","Status of stocks of spiny and slipper lobsters in the Northwestern Hawaiian Islands, 1986.",1987,"Southwest Fisheries Science Center Administrative Report H-87-02, 12 p.",,Administrative Report,,
"Meyer Resources, Inc.",A report on resident fishing in the Hawaiian Islands.,1987,"Southwest Fisheries Science Center Administrative Report H-87-08C, 74 p.",,Administrative Report,,
Honda VA,"Commercial fishing vessel scientific observer manual, with special emphasis on lobster trapping.",1987,"Southwest Fisheries Science Center Administrative Report H-87-10, 24 p.",,Administrative Report,,
"Henderson J, Austin SL, Pillos MB",Summary of webbing and net fragments found on Northwestern Hawaiian Islands beaches. 1982-86.,1987,"Southwest Fisheries Science Center Administrative Report H-87-11, 15 p",PSD,Administrative Report,,
"Gilmartin WG, Johanos TC, Gerrodette T",Preliminary assessment of juvenile Hawaiian monk seal survival.,1987,"Southwest Fisheries Science Center Administrative Report H-87-16, 11 p.",PSD,Administrative Report,,
Gilmartin WG,"Hawaiian monk seal die-off response plan, a workshop report, 2 April 1980, San Diego, California.",1987,"Southwest Fisheries Science Center Administrative Report H-87-19, 7 p.",PSD,Administrative Report,,
"Gerrodette T, Choy BK, Hiruki LM",An experimental study of derelict gill nets in the central Pacific Ocean.,1987,"Southwest Fisheries Science Center Administrative Report H-87-18, 12 p.",PSD,Administrative Report,,
Fuqua JL,Hawaiian Island mapping program,1987,"Southwest Fisheries Science Center Administrative Report H-87-20, 138 p.",,Administrative Report,,
"Clarke RP, Milone PA, Witham HE",Annual report of the 1986 western Pacific lobster fishery.,1987,"Southwest Fisheries Science Center Administrative Report H-87-06, 47 p.",,Administrative Report,,
"Boggs CH, Pooley SG",Hawaii's tuna fisheries,1987,"In: Bartoo NW (ed.). Tuna and billfish summaries of major stocks, p. III-2.1-21. Southwest Fish. Cent. Admin. Rep. LJ-87-26.","FBSAB, FMB",Administrative Report,,
"Banish LD, Gilmartin WG","Preliminary investigation: Hematology and serum chemistry of the young Hawaiian monk seal, Monachus schauinslandi.",1987,"Southwest Fisheries Science Center Administrative Report H-87-13, 10 p.",PSD,Administrative Report,,
"Yoklavich MM, Boehlert GW",Daily growth increments in otoliths of juvenile black rockfish Sebastes melanops: An evaluation of autoradiography as a new method of validation,1987,Fishery Bulletin 85: 826-832,,Journal,,
"Wetherall JA, Polovina JJ, Ralston S",Estimating growth and mortality in steady-state fish stocks from length-frequency data,1987,"In: Pauly D and Morgan GR (eds.). Length-based methods in fisheries research, p. 53-74. ICLARM Conference Proceedings 13, International Center for Living Aquatic Resources Management. Manila, Philippines, and Kuwait Institute for Scientific Research, Safat, Kuwait.",,Conf Proc,,
Wetherall JA,Honolulu Laboratory surveys fish resources in South Pacific,1987,Hawaii Fishing News 12(4): 29,,Journal,,
Shomura RS,"Tuna tagging in the Philippines, Thailand, and Malaysian waters",1987,"In: Report of the Second Meeting of the Tuna Research Groups in the Southeast Asian Region, Manila, Philippines, August 25-28, 1987. p. 63-74. Indo-Pacific Tuna Development and Management Programme, IPTP/87/GEN/12.",,Report,,
Ralston S,Mortality rates of snappers and groupers.,1987,"In: Polovina JJ, Ralston S (eds.). Tropical snappers and groupers: Biology and fisheries management, p. 375-404. Westview Press, Boulder and London.",,Book Chapter,,
Pooley SG,Demand considerations in fisheries management--Hawaii's market for bottom fish.,1987,"In: Polovina JJ, Ralston S (eds.). Tropical snappers and groupers: Biology and fisheries management, p. 605-638. Westview Press, Boulder and London.",,Book Chapter,,
"Polovina JJ, Sakai I",Effects of large-scale artificial reef project on fisheries production and fish aggregation.,1987,"In: Fourth International Conference on Artificial Habitats for Fisheries, November 2-6, 1987, Miami. Florida, p. 98",,Abstract,,
"Polovina JJ, Ralston S (eds.)",Tropical snappers and groupers: Biology and fisheries management.,1987,"Westview Press, Boulder and London, 659 p.",,Book,,
Polovina JJ,Assessment and management of deepwater bottom fishes in Hawaii and the Marianas.,1987,"In: Polovina JJ, Ralston S (eds.). Tropical snappers and groupers: Biology and fisheries management, p. 505-532. Westview Press, Boulder and London.",,Book Chapter,,
Mundy BC,"NMFS, Southwest Center, Honolulu Laboratory, Honolulu, Hawaii: Insular Resources Investigation",1987,"Early Life History Section, American Fisheries Society Newsletter 8(1): 12-13",,Journal,,
"Moon TW, Brill RW, Hochachka PW, Weber JM",L-(+)-Lactate translocation into the red blood cells of the skipjack tuna (Katsuwonus pelamis),1987,Canadian Journal of Zoology 65: 2570-2573,,Journal,,
"Boggs CH, Pooley SG","Forces of change in Hawaii's aku (skipjack tuna) industry, 1986 - workshop summary",1987,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-SWFC-72, 70 p.","FBSAB, FMB",Tech Memo,,
"Bourke RE, Brock J, Nakamura RM","A study of delayed capture mortality syndrome in skipjack tuna, Katsuwonus pelamis (L.)",1987,Journal of Fish Diseases 10: 275-287,,Journal,,
"Boehlert GW, Yoklavich MM",Long-term cycles of growth in Sebastes: Extracting information from otoliths,1987,"In: Proceedings of the International Rockfish Symposium, Anchorage, Alaska USA, October 20-22, 1986, p. 197-207",,Conf Proc,,
"Boehlert GW, Sasaki T",Spawning and dispersal of armorhead in the northeast Pacific and recruitment to isolated seamounts.,1987,"Eos, Transactions, American Geophysical Union 68: 1751",,Abstract,,
"Boehlert GW, Kusakari M, Yamada J",Reproductive mode and energy costs of reproduction in the genus Sebastes,1987,"In: Proceedings of the International Rockfish Symposium, Anchorage, Alaska, USA, October 20-22, 1986, p. 143-152. Univ. Alaska, Alaska Sea Grant Rep. 87-2.",,Conf Proc,,
"Boehlert GW, Genin A",A review of the effects of seamounts on biological processes.,1987,"In: Keating BH, Fryer P, Batiza R, Boehlert GW (eds.). Seamounts, islands, and atolls, p. 319-334. Geophys. Monogr. 43. [Am. Geophys. Union.]",,Book Chapter,,
Boehlert GW,Vzaimodeystvie techeniya i rel'eta v rayone sredinno-okeanicheskikh podvodnykh gor i ego vliyanie na pelagichie ekosistemy. ,1987,"s. 178-179 v: V.I. Ilyichev. Redaktor, Tikhookeanskiy Exhegodnik 1987 Vladivostok: Dal'nevostochnoe Otdelenie An SSR. 196 s. [Abstract, in Russian].",,Abstract,,
Boehlert GW,Meeting reports: First Pacific Symposium on Marine Sciences,1987,"Eos, Transactions, American Geophysical Union 68: 199",,Journal,,
"Balazs GH, Forsyth RG, Kam AKH",Preliminary assessment of habitat utilization by Hawaiian green turtles in their resident foraging pastures,1987,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-SWFC-71, 107 p.",PSD,Tech Memo,,
Balazs GH (compiler),Annotated list of shark attacks in the Hawaiian Islands--July 1987,1987,Hawaii Fishing News 12(8): 12-13,PSD,Journal,"MTRP, turtle",
Anders GC,Native Hawaiian rights in a regulated fishery: an exploratory analysis,1987,"Pacific Islands Development Program, East-West Center, Honolulu, August 1987.",,Book,,
Harrison JT,"The 40 MWe OTEC plant at Kahe Point, Oahu, Hawaii: A case study of potential biological impacts",1987,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-SWFC-68, 105 p",,Tech Memo,,
"Harrison CS, Seki MP",Trophic relationships among tropical seabirds at the Hawaiian Islands.,1987,"In: Croxall JP (ed.). Seabirds: feeding ecology and role in marine ecosystems, Chapter 13, p. 305-326. Cambridge University Press, England",EOD,Book Chapter,,
Gerrodette T,A power analysis for detecting trends,1987,Ecology 68: 1364-1372,PSD,Journal,,
"Bushnell PG, Brill RW",Cardio-respiratory responses in spinally blocked and free swimming tunas exposed to acute hypoxia,1987,Physiologist 30:189,FBSAB,Journal,,
"Brill RW, Bourke R, Brock JA, Dailey MD","Prevalence and effects of infection of the dorsal aorta in yellowfin tuna, Thunnus albacares, by the larval cestode, Dasyrhynchus talismani",1987,Fishery Bulletin 85: 767-776,FBSAB,Journal,,
"Govoni JJ, Boehlert GW, Watanabe Y",The physiology of digestion in fish larvae,1986,Environmental Biology of Fishes 16(1-3): 59-77,,Journal,,
"Boehlert GW, Kusakari M, Shimizu M, Yamada J",Energetics during embryonic development in kurosoi. Sebastes schlegeli Hilgendorf,1986,Journal of Experimental Marine Biology and Ecology 101(3): 239-256,,Journal,,
"Myers EP, Hoss DE, Matsumoto WM, Peters DC, Seki MP, Uchida RN, Ditmars JD, Paddock RA",The potential impact of ocean thermal energy conversion (OTEC) on fisheries,1986,"U.S. Dept. of Commerce, NOAA Technical Report NMFS No.40, 33 p",,Technical Report,,
Yoshida HO,Marine debris: A growing concern.,1986,"World Record Game Fishes. International Game Fish Association Publication, p. 89-96",,Book Chapter,,
"Ralston S, Goolsby JL",Charts of selected fishing banks in the waters around American Samoa.,1986,"Southwest Fisheries Science Center Administrative Report H-86-15, 11 p.",,Administrative Report,,
"Gates PD, Samples KC",Dynamics of fleet composition and vessel fishing patterns in the Northwestern Hawaiian Islands commercial lobster fishery: 1983-86.,1986,"Southwest Fisheries Science Center Administrative Report H-86-17C, 32 p.",,Administrative Report,,
"Suzuki T, Yamamoto S, Ishii K, Matsumoto WM",On the flying squid Stenotuthis [sic] oualaniensis (Lesson) in Hawaiian waters,1986,"Bulletin of the Faculty of Fisheries, Hokkaido University (Japan) 37(2): 111-123",,Journal,,
"Weber JM, Brill RW, Hochachka PW",Mammalian metabolite flux rates in a teleost: lactate and glucose turnover in tuna,1986,"American Journal of Physiology 250 (Regulatory, Integrative and Comparative Physiology 19): R452-R458",,Journal,,
"Abe H, Brill RW, Hochachka PW","Metabolism of L-histidine, carnosine, and anserine in skipjack tuna",1986,Physiological Zoology 59: 439-450,,Journal,,
Polovina JJ,A variable catchability version of the Leslie model with application to an intensive fishing experiment on a multispecies stock,1986,Fishery Bulletin 84: 423-428,,Journal,,
"Gilmartin WG, Gerrodette T",Hawaiian monk seal population status and recovery potential at Kure Atoll.,1986,"Southwest Fisheries Science Center Administrative Report H-86-16, 26 p.",PSD,Administrative Report,,
Everson AR,Closed season as a management policy in lobster fisheries.,1986,"Southwest Fisheries Science Center Administrative Report H-86-07, 8 p.",,Administrative Report,,
Everson AR,Summary of worldwide research on lobster escape vents.,1986,"Southwest Fisheries Science Center Administrative Report H-86-05, 12 p.",,Administrative Report,,
Brill RW (ed.),"Proceedings of the 37th Annual Tuna Conference. May 18-21, 1986.",1986,"Southwest Fisheries Science Center Administrative Report H-86-19, 54 p.",FBSAB,Administrative Report,,
"Balazs GH, Forsyth RG",Status and ecology of marine turtles at Johnston Atoll: 1985 assessment,1986,"Southwest Fisheries Science Center Administrative Report H-86-09, 22 p.",PSD,Administrative Report,,
"Wetherall JA, Yong MYY",Problems in assessing the pelagic armorhead stock on the central North Pacific seamounts,1986,"In: Uchida RN, Hayasi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific, p. 73-85. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
"Wetherall JA, Polovna JJ, Ralston S",Estimating growth and mortality in steady state fish stocks from length-frequency data,1986,"In: Pauly D, Morgan G (eds.). Length-based methods in fisheries research, p. 53-74. International Center for Living Aquatic Resources Management Conference Proceedings, Manila, Philippines, 468 p.",,Conf Proc,,
Wetherall JA,A new method for estimating growth and mortality parameters from length-frequency data,1986,Fishbyte [ICLARM] 4(1): 12-14,,Journal,,
"Uchiyama JH, Burch RK, Kraul SA","Growth of dolphins. Coryohaena hippurus and C. equiselis, in Hawaiian waters as determined by daily increments on otoliths",1986,Fishery Bulletin 84: 186-191,,Journal,,
Uchiyama JH,"Scombridae, yellowfin tuna",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 132-133. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchiyama JH,"Scombridae, skipjack tuna",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 130-131. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchiyama JH,"Scombridae, kawakawa",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 128-129. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchiyama JH,"Scombridae, bigeye tuna",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 134-135. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchiyama JH,"Coryphaenidae, dolphin",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 102-103. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
"Uchida RN, Uchiyama JH (eds.)",Fishery atlas of the Northwestern Hawaiian Islands,1986,"U.S. Dept. of Commerce, NOAA Technical Report NMFS No.38, 142 p.",,Technical Report,,
"Uchida RN, Hayasi S, Boehlert GW (eds.)",Environment and resources of seamounts in the Noth Pacific,1986,"U.S. Dept. of Commerce, NOAA Technical Report NMFS No.43, 105 p.",,Technical Report,,
"Uchida RN, Hayasi S, Boehlert GW",Foreward,1986,"In: Uchida RN, Hayasi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific, p. v. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
"Uchida RN, Hayasi S",Session 6. Summary,1986,"In: Uchida RN, Hayasi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific, p. 103. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
"Uchida RN, Hayasi S",Session 5. Summary,1986,"In: Uchida RN, Hayasi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific, p. 93. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
"Uchida RN, Hayasi S",Session 4. Summary,1986,"In: Uchida RN, Hayasi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific, p. 71. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
"Uchida RN, Hayasi S",Session 3. Summary,1986,"In: Uchida RN, Hayasi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific, p. 53. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
"Uchida RN, Hayasi S",Session 2. Review of seamount fisheries,1986,"In: Uchida RN, Hayasi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific, p. 41. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
"Uchida RN, Hayasi S",Session 1. Summary,1986,"In: Uchida RN, Hayasi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific, p. 19. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
Uchida RN,"Scyllaridae, ulapapa",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 68-69. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Raninidae, kona crab",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 70-71. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Priacanthidae, glasseye snapper",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 84-85. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Pentacerotidae, pelagic armorhead",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 120-121. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Penaeidae, opaelolo",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 60-61. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Pandalidae, smooth nylon shrimp",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 64-65. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Pandalidae, armed nylon shrimp",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 62-63. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Palinuridae, ula",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 66-67. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Mullidae, moano",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 118-119. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Lutjanidae, taape",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 110-111. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Holocentridae, uu",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 80-81. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Uchida RN,"Berycidae, alfonsin",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 78-79. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Skillman RA,Identifying characteristics of Hawaii's lobster,1986,Hawaii Fishing News 11(2): 19,,Journal,,
Shomura RS,Seamounts: A biological concourse in the open sea. An introductory statement,1986,"In: Uchida RN, Hayasi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific. p. 1-2. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
Shomura RS,NMFS research on captive monk seal needed to save the species,1986,Hawaii Fishing News 11(3): 17,,Journal,,
Shiota PM,"Carangidae, redtail scad",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 92-93. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Shiota PM,"Carangidae, mackeral scad",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 90-91. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Shiota PM,"Carangidae, bigeye scad",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 98-99. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
"Seki MP, Tagami DT",Review and present status of handline and bottom longline fisheries for alfonsin,1986,"In: Uchida RN, Hayashi S, Boehlert GW (eds.). Environment and resources of seamounts in the North Pacific, p. 31-35. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 43, 105 p.",,Technical Report,,
Seki MP,"Serranidae, hapuupuu",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 82-83. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Seki MP,"Carangidae, ulua",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 86-87. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Seki MP,"Carangidae, rainbow runner",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 94-95. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Seki MP,"Carangidae, omilu",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 88-89. U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
Seki MP,"Carangidae, butaguchi",1986,"In: Uchida RN, Uchiyama JH (eds.). Fishery atlas of the Northwestern Hawaiian Islands, p. 96-97.U.S. Dept. of Commerce, NOAA Tech. Rep. NMFS 38, 142 p.",,Technical Report,,
"Ralston S, Gooding RM, Ludwig GM",An ecological survey and comparison of bottom fish assessments (submersible versus handline fishing) at Johnston Atoll,1986,Fishery Bulletin 84: 141-155,,Journal,,
Ralston S,An intensive fishing experiment for the caridean shrimp Heterocarpus laevigatus at Alamagan Island in the Mariana Archipelago,1986,Fishery Bulletin 84: 927-934,,Journal,,
"Polovina JJ, Ralston S",An approach to yield assessment for unexploited resources with application to the deep slope fishes of the Marianas,1986,Fishery Bulletin 84: 759-770,,Journal,,
Polovina JJ,Some results from research on Japanese artificial reef,1986,"Proceedings of the Pacific Congress on Marine Technology, PACON 86, March 24-28, 1986, Honolulu, Hawaii, p. MRM4/16-MRM4/17",,Conf Proc,,
Japan Marine Fishery Resource Research Center,Japan Marine Fishery Resource Research Center Fishery Symposium. ,1986,"Japan Marine Fishery Resource Research Center (JAMARC) 31: 63-73. (Engl. transl. by T. Otsu 1987, 18 p., Transl. No. 118)",,Translation,,
Polovina JJ,Fortunes to be made on the deep slopes,1986,Pacific Islands Monthly 31-33,,Journal,,
Polovina JJ,Corrections for the listings of the ECOPATH model,1986,Fishbyte [ICLARM] 4(1): 21,,Journal,,
